,country,Medal,Number games hosted,GDP rank,continent,iso_alpha2
5,Australia,941.0,1.0,10.0,Oceania,AU
6,Austria,615.0,2.0,15.0,Europe,AT
9,Belgium,330.0,1.0,13.0,Europe,BE
14,Brazil,233.0,1.0,9.0,Americas,BR
20,Canada,940.0,2.0,8.0,Americas,CA
44,France,1717.0,4.0,6.0,Europe,FR
47,Germany,2356.0,1.0,4.0,Europe,DE
64,Italy,1502.0,2.0,7.0,Europe,IT
66,Japan,1020.0,3.0,3.0,Asia,JP
90,Netherlands,793.0,1.0,11.0,Europe,NL
95,Norway,947.0,2.0,14.0,Europe,NO
122,Sweden,1426.0,1.0,12.0,Europe,SE
133,United Kingdom,2010.0,3.0,5.0,Europe,GB
134,United States,5707.0,7.0,1.0,Americas,US
